Observer,Sample_spp,code,SiteLong,SiteShort,SiteCode,Sample_ID,Sampling_date,day,mo,yr,DOY,Season,SeasonCode,Yryly_Temp_old,Species,SppCode,Body_Length,Head_Width,density_per_m2,Body_Width,Height,Length of 1st Antennae,Adult?,has citellum?,b,a,log10(a),unit,equation,dry_mass_mg,Yryly_Temp
Lucie,Auba_14_6_2002_PO,Auba_2002_6_14,Aubach,Auba,1,NA,14/06/2002,14,6,2002,165,late,2,NA,Prodiamesa olivacea,PO,2.83,0.25,134.4,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),0.027390352,9.808333333
Lucie,Auba_14_6_2002_PO,Auba_2002_6_14,Aubach,Auba,1,NA,14/06/2002,14,6,2002,165,late,2,NA,Prodiamesa olivacea,PO,4.92,0.24,134.4,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),0.116451525,9.808333333
Lucie,Auba_21_6_2001_PO,Auba_2001_6_21,Aubach,Auba,1,A2,21/06/2001,21,6,2001,172,late,2,NA,Prodiamesa olivacea,PO,7.17,0.75,NA,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),0.312008292,9.525
Lucie,Auba_21_6_2001_PO,Auba_2001_6_21,Aubach,Auba,1,A2,21/06/2001,21,6,2001,172,late,2,NA,Prodiamesa olivacea,PO,7.85,0.73,NA,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),0.395499917,9.525
Lucie,Auba_21_6_2001_PO,Auba_2001_6_21,Aubach,Auba,1,A2,21/06/2001,21,6,2001,172,late,2,NA,Prodiamesa olivacea,PO,8.64,0.55,NA,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),0.508310369,9.525
Lucie,Auba_21_6_2001_PO,Auba_2001_6_21,Aubach,Auba,1,A2,21/06/2001,21,6,2001,172,late,2,NA,Prodiamesa olivacea,PO,8,0.53,NA,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),0.415584174,9.525
Lucie,Auba_21_6_2001_PO,Auba_2001_6_21,Aubach,Auba,1,A2,21/06/2001,21,6,2001,172,late,2,NA,Prodiamesa olivacea,PO,7,0.46,NA,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),0.293017849,9.525
Lucie,Auba_21_6_2001_PO,Auba_2001_6_21,Aubach,Auba,1,A2,21/06/2001,21,6,2001,172,late,2,NA,Prodiamesa olivacea,PO,3.03,0.44,NA,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),0.032749741,9.525
Lucie,Auba_21_6_2001_PO,Auba_2001_6_21,Aubach,Auba,1,A2,21/06/2001,21,6,2001,172,late,2,NA,Prodiamesa olivacea,PO,12.65,0.41,NA,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),1.378616304,9.525
Lucie,Auba_21_6_2001_PO,Auba_2001_6_21,Aubach,Auba,1,A2,21/06/2001,21,6,2001,172,late,2,NA,Prodiamesa olivacea,PO,4.24,0.37,NA,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),0.078902171,9.525
Lucie,Auba_21_6_2001_PO,Auba_2001_6_21,Aubach,Auba,1,A2,21/06/2001,21,6,2001,172,late,2,NA,Prodiamesa olivacea,PO,2.87,0.33,NA,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),0.028415116,9.525
David,W1_5_6_2018_OV,W1_2018_6_5,KiW1/W1/Bulau,W1,4,Einzelexemplar,5/6/2018,5,6,2018,156,late,2,11.8018492,Orectochilus villosus,OV,6.55,1.41,0.8,NA,NA,NA,yes,NA,2.586,0.0531,NA,mg,DM = a(L^b),6.853217621,11.35833333
David,W1_22_3_2005_OV,W1_2005_3_22,KiW1/W1/Bulau,W1,4,grob,22/03/2005,22,3,2005,81,early,1,NA,Orectochilus villosus,OV,12.16,0.71,1.6,NA,NA,NA,no,NA,2.586,0.0531,NA,mg,DM = a(L^b),33.94163399,10.25
David,W1_22_3_2005_OV,W1_2005_3_22,KiW1/W1/Bulau,W1,4,grob,22/03/2005,22,3,2005,81,early,1,NA,Orectochilus villosus,OV,12.59,0.6,1.6,NA,NA,NA,no,NA,2.586,0.0531,NA,mg,DM = a(L^b),37.13308734,10.25
David,W1_22_3_2005_OV,W1_2005_3_22,KiW1/W1/Bulau,W1,4,grob,22/03/2005,22,3,2005,81,early,1,NA,Orectochilus villosus,OV,13.73,0.72,1.6,NA,NA,NA,no,NA,2.586,0.0531,NA,mg,DM = a(L^b),46.4633512,10.25
David,W1_22_3_2005_OV,W1_2005_3_22,KiW1/W1/Bulau,W1,4,grob,22/03/2005,22,3,2005,81,early,1,NA,Orectochilus villosus,OV,7.62,0.39,1.6,NA,NA,NA,no,NA,2.586,0.0531,NA,mg,DM = a(L^b),10.13514758,10.25
David,O3_1_4_2019_OV,O3_2019_4_1,KiO3/O3/Rothenbergen,O3,3,grob,1/4/2019,1,4,2019,91,early,1,12.06920692,Orectochilus villosus,OV,7.61,0.38,3.692308,NA,NA,NA,no,NA,2.586,0.0531,NA,mg,DM = a(L^b),10.10078771,12.25
David,O3_9_3_2018_OV,O3_2018_3_9,KiO3/O3/Rothenbergen,O3,3,grob,9/3/2018,9,3,2018,68,early,1,11.63718211,Orectochilus villosus,OV,8.92,0.66,10.28571,NA,NA,NA,no,NA,2.586,0.0531,NA,mg,DM = a(L^b),15.23133726,10.7
David,O3_9_3_2018_OV,O3_2018_3_9,KiO3/O3/Rothenbergen,O3,3,grob,9/3/2018,9,3,2018,68,early,1,11.63718211,Orectochilus villosus,OV,5.52,0.41,10.28571,NA,NA,NA,no,NA,2.586,0.0531,NA,mg,DM = a(L^b),4.403002946,10.7
David,O3_9_3_2018_OV,O3_2018_3_9,KiO3/O3/Rothenbergen,O3,3,grob,9/3/2018,9,3,2018,68,early,1,11.63718211,Orectochilus villosus,OV,8.88,0.7,10.28571,NA,NA,NA,no,NA,2.586,0.0531,NA,mg,DM = a(L^b),15.05533594,10.7
David,O3_28_3_2017_OV,O3_2017_3_28,KiO3/O3/Rothenbergen,O3,3,grob,28/03/2017,28,3,2017,87,early,1,10.64070401,Orectochilus villosus,OV,4.17,0.23,2.285714,NA,NA,NA,no,NA,2.586,0.0531,NA,mg,DM = a(L^b),2.131897691,10.96666667
David,O3_28_3_2017_OV,O3_2017_3_28,KiO3/O3/Rothenbergen,O3,3,grob,28/03/2017,28,3,2017,87,early,1,10.64070401,Orectochilus villosus,OV,12.18,0.68,2.285714,NA,NA,NA,no,NA,2.586,0.0531,NA,mg,DM = a(L^b),34.08618593,10.96666667
David,O3_25_4_2016_OV,O3_2016_4_25,KiO3/O3/Rothenbergen,O3,3,grob,25/04/2016,25,4,2016,116,early,1,12.20986753,Orectochilus villosus,OV,8.85,0.62,3.428571,NA,NA,NA,no,NA,2.586,0.0531,NA,mg,DM = a(L^b),14.92415734,11.35833333
David,O3_25_4_2016_OV,O3_2016_4_25,KiO3/O3/Rothenbergen,O3,3,grob,25/04/2016,25,4,2016,116,early,1,12.20986753,Orectochilus villosus,OV,NA,0.65,3.428571,NA,NA,NA,no,NA,2.586,0.0531,NA,mg,DM = a(L^b),NA,11.35833333
David,O3_10_3_2014_OV,O3_2014_3_10,KiO3/O3/Rothenbergen,O3,3,grob,10/3/2014,10,3,2014,69,early,1,11.02946866,Orectochilus villosus,OV,10.03,0.64,2.285714,NA,NA,NA,no,NA,2.586,0.0531,NA,mg,DM = a(L^b),20.62807653,11.225
David,O3_10_3_2014_OV,O3_2014_3_10,KiO3/O3/Rothenbergen,O3,3,grob,10/3/2014,10,3,2014,69,early,1,11.02946866,Orectochilus villosus,OV,4.21,0.38,2.285714,NA,NA,NA,no,NA,2.586,0.0531,NA,mg,DM = a(L^b),2.185184045,11.225
David,O3_25_4_2013_OV,O3_2013_4_25,KiO3/O3/Rothenbergen,O3,3,grob,25/04/2013,25,4,2013,115,early,1,10.88388592,Orectochilus villosus,OV,15.47,0.72,1.6,NA,NA,NA,no,NA,2.586,0.0531,NA,mg,DM = a(L^b),63.2581479,9.975
David,O3_25_4_2013_OV,O3_2013_4_25,KiO3/O3/Rothenbergen,O3,3,grob,25/04/2013,25,4,2013,115,early,1,10.88388592,Orectochilus villosus,OV,12.15,0.61,1.6,NA,NA,NA,no,NA,2.586,0.0531,NA,mg,DM = a(L^b),33.86949925,9.975
David,O3_21_3_2012_OV,O3_2012_3_21,KiO3/O3/Rothenbergen,O3,3,grob,21/03/2012,21,3,2012,81,early,1,NA,Orectochilus villosus,OV,7.98,0.39,8.228571,NA,NA,NA,no,NA,2.586,0.0531,NA,mg,DM = a(L^b),11.42020758,10.925
David,O3_21_3_2012_OV,O3_2012_3_21,KiO3/O3/Rothenbergen,O3,3,grob,21/03/2012,21,3,2012,81,early,1,NA,Orectochilus villosus,OV,7.68,0.31,8.228571,NA,NA,NA,no,NA,2.586,0.0531,NA,mg,DM = a(L^b),10.34281213,10.925
David,O3_20_4_2011_OV,O3_2011_4_20,KiO3/O3/Rothenbergen,O3,3,grob,20/04/2011,20,4,2011,110,early,1,NA,Orectochilus villosus,OV,11.47,0.67,1.6,NA,NA,NA,no,NA,2.586,0.0531,NA,mg,DM = a(L^b),29.18270331,10.075
David,O3_20_4_2011_OV,O3_2011_4_20,KiO3/O3/Rothenbergen,O3,3,grob,20/04/2011,20,4,2011,110,early,1,NA,Orectochilus villosus,OV,12.71,0.52,1.6,NA,NA,NA,no,NA,2.586,0.0531,NA,mg,DM = a(L^b),38.0552794,10.075
David,O3_28_4_2008_OV,O3_2008_4_28,KiO3/O3/Rothenbergen,O3,3,grob,28/04/2008,28,4,2008,119,early,1,NA,Orectochilus villosus,OV,14.42,0.72,1.443609,NA,NA,NA,no,NA,2.586,0.0531,NA,mg,DM = a(L^b),52.74468275,10.35833333
David,O3_28_4_2008_OV,O3_2008_4_28,KiO3/O3/Rothenbergen,O3,3,grob,28/04/2008,28,4,2008,119,early,1,NA,Orectochilus villosus,OV,5.77,0.43,1.443609,NA,NA,NA,no,NA,2.586,0.0531,NA,mg,DM = a(L^b),4.937364316,10.35833333
David,O3_22_3_2005_OV,O3_2005_3_22,KiO3/O3/Rothenbergen,O3,3,grob,22/03/2005,22,3,2005,81,early,1,NA,Orectochilus villosus,OV,10.41,0.61,4,NA,NA,NA,no,NA,2.586,0.0531,NA,mg,DM = a(L^b),22.71026007,10.10833333
David,O3_22_3_2005_OV,O3_2005_3_22,KiO3/O3/Rothenbergen,O3,3,grob,22/03/2005,22,3,2005,81,early,1,NA,Orectochilus villosus,OV,12.5,0.58,4,NA,NA,NA,no,NA,2.586,0.0531,NA,mg,DM = a(L^b),36.45052725,10.10833333
David,O3_22_3_2005_OV,O3_2005_3_22,KiO3/O3/Rothenbergen,O3,3,grob,22/03/2005,22,3,2005,81,early,1,NA,Orectochilus villosus,OV,10.84,0.66,4,NA,NA,NA,no,NA,2.586,0.0531,NA,mg,DM = a(L^b),25.2162351,10.10833333
David,O3_22_3_2005_OV,O3_2005_3_22,KiO3/O3/Rothenbergen,O3,3,grob,22/03/2005,22,3,2005,81,early,1,NA,Orectochilus villosus,OV,6.85,0.4,4,NA,NA,NA,no,NA,2.586,0.0531,NA,mg,DM = a(L^b),7.694676022,10.10833333
David,O3_22_3_2005_OV,O3_2005_3_22,KiO3/O3/Rothenbergen,O3,3,grob,22/03/2005,22,3,2005,81,early,1,NA,Orectochilus villosus,OV,7.38,0.39,4,NA,NA,NA,no,NA,2.586,0.0531,NA,mg,DM = a(L^b),9.330142413,10.10833333
David,Bieb_2_4_2019_OV,Bieb_2019_4_2,Bieber,Bieb,2,Einzelexemplar,2/4/2019,2,4,2019,92,early,1,10.57369595,Orectochilus villosus,OV,11.45,0.65,0.8,NA,NA,NA,no,NA,2.586,0.0531,NA,mg,DM = a(L^b),29.05129588,11.53333333
David,Bieb_12_6_2017_OV,Bieb_2017_6_12,Bieber,Bieb,2,Einzelexemplar,12/6/2017,12,6,2017,163,late,2,9.597170391,Orectochilus villosus,OV,7,2.05,0.8,NA,NA,NA,yes,NA,2.586,0.0531,NA,mg,DM = a(L^b),8.138006878,10.28333333
David,Bieb_21_6_2016_OV,Bieb_2016_6_21,Bieber,Bieb,2,grob,21/06/2016,21,6,2016,173,late,2,10.48123791,Orectochilus villosus,OV,11.15,0.64,1.5,NA,NA,NA,no,NA,2.586,0.0531,NA,mg,DM = a(L^b),27.12359982,10.69166667
David,Bieb_11_4_2016_OV,Bieb_2016_4_11,Bieber,Bieb,2,grob,11/4/2016,11,4,2016,102,early,1,10.6375945,Orectochilus villosus,OV,14.75,0.57,13.71429,NA,NA,NA,no,NA,2.586,0.0531,NA,mg,DM = a(L^b),55.9230289,10.625
David,Bieb_11_4_2016_OV,Bieb_2016_4_11,Bieber,Bieb,2,grob,11/4/2016,11,4,2016,102,early,1,10.6375945,Orectochilus villosus,OV,12.82,0.69,13.71429,NA,NA,NA,no,NA,2.586,0.0531,NA,mg,DM = a(L^b),38.91284232,10.625
David,Bieb_11_4_2016_OV,Bieb_2016_4_11,Bieber,Bieb,2,grob,11/4/2016,11,4,2016,102,early,1,10.6375945,Orectochilus villosus,OV,11.79,0.54,13.71429,NA,NA,NA,no,NA,2.586,0.0531,NA,mg,DM = a(L^b),31.33496551,10.625
David,Bieb_11_4_2016_OV,Bieb_2016_4_11,Bieber,Bieb,2,grob,11/4/2016,11,4,2016,102,early,1,10.6375945,Orectochilus villosus,OV,12.92,0.6,13.71429,NA,NA,NA,no,NA,2.586,0.0531,NA,mg,DM = a(L^b),39.70263959,10.625
David,Bieb_25_3_2015_OV,Bieb_2015_3_25,Bieber,Bieb,2,Einzelexemplar,25/03/2015,25,3,2015,84,early,1,NA,Orectochilus villosus,OV,10.95,0.69,8.457143,NA,NA,NA,no,NA,2.586,0.0531,NA,mg,DM = a(L^b),25.88328732,10.35
David,Bieb_25_3_2015_OV,Bieb_2015_3_25,Bieber,Bieb,2,Irlläufer,25/03/2015,25,3,2015,84,early,1,NA,Orectochilus villosus,OV,10.97,0.61,8.457143,NA,NA,NA,no,NA,2.586,0.0531,NA,mg,DM = a(L^b),26.00571867,10.35
David,Bieb_25_3_2015_OV,Bieb_2015_3_25,Bieber,Bieb,2,Irlläufer,25/03/2015,25,3,2015,84,early,1,NA,Orectochilus villosus,OV,9.64,0.55,8.457143,NA,NA,NA,no,NA,2.586,0.0531,NA,mg,DM = a(L^b),18.61734431,10.35
David,Bieb_25_3_2015_OV,Bieb_2015_3_25,Bieber,Bieb,2,grob,25/03/2015,25,3,2015,84,early,1,NA,Orectochilus villosus,OV,11.91,0.72,8.457143,NA,NA,NA,no,NA,2.586,0.0531,NA,mg,DM = a(L^b),32.16639097,10.35
David,Bieb_25_3_2015_OV,Bieb_2015_3_25,Bieber,Bieb,2,grob,25/03/2015,25,3,2015,84,early,1,NA,Orectochilus villosus,OV,12.65,0.65,8.457143,NA,NA,NA,no,NA,2.586,0.0531,NA,mg,DM = a(L^b),37.59244907,10.35
David,Bieb_11_3_2014_OV,Bieb_2014_3_11,Bieber,Bieb,2,grob,11/3/2014,11,3,2014,70,early,1,NA,Orectochilus villosus,OV,7.95,0.32,3.8,NA,NA,NA,no,NA,2.586,0.0531,NA,mg,DM = a(L^b),11.3095133,10.54166667
David,Bieb_11_3_2014_OV,Bieb_2014_3_11,Bieber,Bieb,2,Einzelexemplar,11/3/2014,11,3,2014,70,early,1,NA,Orectochilus villosus,OV,12.43,0.69,3.8,NA,NA,NA,no,NA,2.586,0.0531,NA,mg,DM = a(L^b),35.92500686,10.54166667
David,Bieb_19_3_2013_OV,Bieb_2013_3_19,Bieber,Bieb,2,TEST,19/03/2013,19,3,2013,78,early,1,NA,Orectochilus villosus,OV,10.34,0.51,7.2,NA,NA,NA,no,NA,2.586,0.0531,NA,mg,DM = a(L^b),22.31745328,9.191666667
David,Bieb_19_3_2013_OV,Bieb_2013_3_19,Bieber,Bieb,2,TEST,19/03/2013,19,3,2013,78,early,1,NA,Orectochilus villosus,OV,12.07,0.61,7.2,NA,NA,NA,no,NA,2.586,0.0531,NA,mg,DM = a(L^b),33.29580517,9.191666667
David,Bieb_19_3_2013_OV,Bieb_2013_3_19,Bieber,Bieb,2,TEST grob,19/03/2013,19,3,2013,78,early,1,NA,Orectochilus villosus,OV,13.75,0.62,7.2,NA,NA,NA,no,NA,2.586,0.0531,NA,mg,DM = a(L^b),46.6385778,9.191666667
David,Bieb_19_3_2013_OV,Bieb_2013_3_19,Bieber,Bieb,2,TEST grob,19/03/2013,19,3,2013,78,early,1,NA,Orectochilus villosus,OV,9.64,0.57,7.2,NA,NA,NA,no,NA,2.586,0.0531,NA,mg,DM = a(L^b),18.61734431,9.191666667
David,Bieb_19_3_2013_OV,Bieb_2013_3_19,Bieber,Bieb,2,TEST grob,19/03/2013,19,3,2013,78,early,1,NA,Orectochilus villosus,OV,10.86,0.69,7.2,NA,NA,NA,no,NA,2.586,0.0531,NA,mg,DM = a(L^b),25.33672334,9.191666667
David,Bieb_19_3_2013_OV,Bieb_2013_3_19,Bieber,Bieb,2,TEST grob,19/03/2013,19,3,2013,78,early,1,NA,Orectochilus villosus,OV,11.62,0.58,7.2,NA,NA,NA,no,NA,2.586,0.0531,NA,mg,DM = a(L^b),30.17988414,9.191666667
David,Bieb_19_3_2013_OV,Bieb_2013_3_19,Bieber,Bieb,2,TEST grob,19/03/2013,19,3,2013,78,early,1,NA,Orectochilus villosus,OV,12.33,0.56,7.2,NA,NA,NA,no,NA,2.586,0.0531,NA,mg,DM = a(L^b),35.18236559,9.191666667
David,Bieb_19_3_2013_OV,Bieb_2013_3_19,Bieber,Bieb,2,TEST grob,19/03/2013,19,3,2013,78,early,1,NA,Orectochilus villosus,OV,7.41,0.63,7.2,NA,NA,NA,no,NA,2.586,0.0531,NA,mg,DM = a(L^b),9.428539111,9.191666667
David,Bieb_19_3_2013_OV,Bieb_2013_3_19,Bieber,Bieb,2,TEST grob,19/03/2013,19,3,2013,78,early,1,NA,Orectochilus villosus,OV,7.85,0.39,7.2,NA,NA,NA,no,NA,2.586,0.0531,NA,mg,DM = a(L^b),10.94529455,9.191666667
David,Bieb_19_3_2013_OV,Bieb_2013_3_19,Bieber,Bieb,2,grob,19/03/2013,19,3,2013,78,early,1,NA,Orectochilus villosus,OV,12.11,0.68,7.2,NA,NA,NA,no,NA,2.586,0.0531,NA,mg,DM = a(L^b),33.58190087,9.191666667
David,Bieb_19_3_2013_OV,Bieb_2013_3_19,Bieber,Bieb,2,grob,19/03/2013,19,3,2013,78,early,1,NA,Orectochilus villosus,OV,10.97,0.56,7.2,NA,NA,NA,no,NA,2.586,0.0531,NA,mg,DM = a(L^b),26.00571867,9.191666667
David,Bieb_19_3_2013_OV,Bieb_2013_3_19,Bieber,Bieb,2,grob,19/03/2013,19,3,2013,78,early,1,NA,Orectochilus villosus,OV,12.99,0.57,7.2,NA,NA,NA,no,NA,2.586,0.0531,NA,mg,DM = a(L^b),40.26129926,9.191666667
David,Bieb_19_3_2013_OV,Bieb_2013_3_19,Bieber,Bieb,2,Einzelexemplar,19/03/2013,19,3,2013,78,early,1,NA,Orectochilus villosus,OV,14.78,0.6,7.2,NA,NA,NA,no,NA,2.586,0.0531,NA,mg,DM = a(L^b),56.21763967,9.191666667
David,Bieb_19_3_2012_OV,Bieb_2012_3_19,Bieber,Bieb,2,grob,19/03/2012,19,3,2012,79,early,1,10.10923887,Orectochilus villosus,OV,12.66,0.58,5.882353,NA,NA,NA,no,NA,2.586,0.0531,NA,mg,DM = a(L^b),37.66934633,10.21666667
David,Bieb_19_3_2012_OV,Bieb_2012_3_19,Bieber,Bieb,2,grob,19/03/2012,19,3,2012,79,early,1,10.10923887,Orectochilus villosus,OV,9.85,0.63,5.882353,NA,NA,NA,no,NA,2.586,0.0531,NA,mg,DM = a(L^b),19.68432891,10.21666667
David,Bieb_19_3_2012_OV,Bieb_2012_3_19,Bieber,Bieb,2,grob,19/03/2012,19,3,2012,79,early,1,10.10923887,Orectochilus villosus,OV,9.13,0.36,5.882353,NA,NA,NA,no,NA,2.586,0.0531,NA,mg,DM = a(L^b),16.1760303,10.21666667
David,Bieb_24_3_2011_OV,Bieb_2011_3_24,Bieber,Bieb,2,grob,24/03/2011,24,3,2011,83,early,1,NA,Orectochilus villosus,OV,15.88,0.7,3.2,NA,NA,NA,no,NA,2.586,0.0531,NA,mg,DM = a(L^b),67.68523002,9.141666667
David,Bieb_24_3_2011_OV,Bieb_2011_3_24,Bieber,Bieb,2,grob,24/03/2011,24,3,2011,83,early,1,NA,Orectochilus villosus,OV,14.28,0.67,3.2,NA,NA,NA,no,NA,2.586,0.0531,NA,mg,DM = a(L^b),51.43060883,9.141666667
David,Bieb_24_3_2011_OV,Bieb_2011_3_24,Bieber,Bieb,2,grob,24/03/2011,24,3,2011,83,early,1,NA,Orectochilus villosus,OV,12.8,0.61,3.2,NA,NA,NA,no,NA,2.586,0.0531,NA,mg,DM = a(L^b),38.75604956,9.141666667
David,Bieb_24_3_2011_OV,Bieb_2011_3_24,Bieber,Bieb,2,grob,24/03/2011,24,3,2011,83,early,1,NA,Orectochilus villosus,OV,8.84,0.42,3.2,NA,NA,NA,no,NA,2.586,0.0531,NA,mg,DM = a(L^b),14.88058752,9.141666667
David,Bieb_16_3_2010_OV,Bieb_2010_3_16,Bieber,Bieb,2,grob,16/03/2010,16,3,2010,75,early,1,NA,Orectochilus villosus,OV,13.48,0.66,0.761905,NA,NA,NA,no,NA,2.586,0.0531,NA,mg,DM = a(L^b),44.30702419,9.75
David,Bieb_16_3_2010_OV,Bieb_2010_3_16,Bieber,Bieb,2,21TP grob,16/03/2010,16,3,2010,75,early,1,NA,Orectochilus villosus,OV,6.34,0.37,0.761905,NA,NA,NA,no,NA,2.586,0.0531,NA,mg,DM = a(L^b),6.299373251,9.75
David,Bieb_24_4_2008_OV,Bieb_2008_4_24,Bieber,Bieb,2,grob,24/04/2008,24,4,2008,115,early,1,NA,Orectochilus villosus,OV,13.39,0.71,3.428571,NA,NA,NA,no,NA,2.586,0.0531,NA,mg,DM = a(L^b),43.54608272,9.666666667
David,Bieb_24_4_2008_OV,Bieb_2008_4_24,Bieber,Bieb,2,grob,24/04/2008,24,4,2008,115,early,1,NA,Orectochilus villosus,OV,7.12,0.4,3.428571,NA,NA,NA,no,NA,2.586,0.0531,NA,mg,DM = a(L^b),8.503697145,9.666666667
David,Bieb_10_4_2006_OV,Bieb_2006_4_10,Bieber,Bieb,2,grob,10/4/2006,10,4,2006,100,early,1,NA,Orectochilus villosus,OV,10.74,0.65,24,NA,NA,NA,no,NA,2.586,0.0531,NA,mg,DM = a(L^b),24.61906714,9.175
David,Bieb_10_4_2006_OV,Bieb_2006_4_10,Bieber,Bieb,2,grob,10/4/2006,10,4,2006,100,early,1,NA,Orectochilus villosus,OV,10.42,0.62,24,NA,NA,NA,no,NA,2.586,0.0531,NA,mg,DM = a(L^b),22.76671874,9.175
David,Bieb_10_4_2006_OV,Bieb_2006_4_10,Bieber,Bieb,2,grob,10/4/2006,10,4,2006,100,early,1,NA,Orectochilus villosus,OV,10.99,0.73,24,NA,NA,NA,no,NA,2.586,0.0531,NA,mg,DM = a(L^b),26.12850454,9.175
David,Bieb_10_4_2006_OV,Bieb_2006_4_10,Bieber,Bieb,2,grob,10/4/2006,10,4,2006,100,early,1,NA,Orectochilus villosus,OV,12.6,0.65,24,NA,NA,NA,no,NA,2.586,0.0531,NA,mg,DM = a(L^b),37.20940717,9.175
David,Bieb_10_4_2006_OV,Bieb_2006_4_10,Bieber,Bieb,2,grob,10/4/2006,10,4,2006,100,early,1,NA,Orectochilus villosus,OV,12.43,0.63,24,NA,NA,NA,no,NA,2.586,0.0531,NA,mg,DM = a(L^b),35.92500686,9.175
David,Bieb_11_3_2003_OV,Bieb_2003_3_11,Bieber,Bieb,2,grob,11/3/2003,11,3,2003,70,early,1,NA,Orectochilus villosus,OV,12.81,0.7,32.91429,NA,NA,NA,no,NA,2.586,0.0531,NA,mg,DM = a(L^b),38.83439741,9.658333333
David,Bieb_11_3_2003_OV,Bieb_2003_3_11,Bieber,Bieb,2,grob,11/3/2003,11,3,2003,70,early,1,NA,Orectochilus villosus,OV,11.06,0.58,32.91429,NA,NA,NA,no,NA,2.586,0.0531,NA,mg,DM = a(L^b),26.56105245,9.658333333
David,Bieb_11_3_2003_OV,Bieb_2003_3_11,Bieber,Bieb,2,grob,11/3/2003,11,3,2003,70,early,1,NA,Orectochilus villosus,OV,12.16,0.67,32.91429,NA,NA,NA,no,NA,2.586,0.0531,NA,mg,DM = a(L^b),33.94163399,9.658333333
David,Bieb_11_3_2003_OV,Bieb_2003_3_11,Bieber,Bieb,2,grob,11/3/2003,11,3,2003,70,early,1,NA,Orectochilus villosus,OV,12.22,0.64,32.91429,NA,NA,NA,no,NA,2.586,0.0531,NA,mg,DM = a(L^b),34.37642101,9.658333333
David,Bieb_11_3_2003_OV,Bieb_2003_3_11,Bieber,Bieb,2,grob,11/3/2003,11,3,2003,70,early,1,NA,Orectochilus villosus,OV,12.85,0.69,32.91429,NA,NA,NA,no,NA,2.586,0.0531,NA,mg,DM = a(L^b),39.14875986,9.658333333
David,Bieb_11_3_2003_OV,Bieb_2003_3_11,Bieber,Bieb,2,grob,11/3/2003,11,3,2003,70,early,1,NA,Orectochilus villosus,OV,12.11,0.65,32.91429,NA,NA,NA,no,NA,2.586,0.0531,NA,mg,DM = a(L^b),33.58190087,9.658333333
David,Bieb_11_3_2003_OV,Bieb_2003_3_11,Bieber,Bieb,2,grob,11/3/2003,11,3,2003,70,early,1,NA,Orectochilus villosus,OV,8.21,0.4,32.91429,NA,NA,NA,no,NA,2.586,0.0531,NA,mg,DM = a(L^b),12.2909634,9.658333333
David,Bieb_11_3_2003_OV,Bieb_2003_3_11,Bieber,Bieb,2,grob,11/3/2003,11,3,2003,70,early,1,NA,Orectochilus villosus,OV,10.79,0.52,32.91429,NA,NA,NA,no,NA,2.586,0.0531,NA,mg,DM = a(L^b),24.91655392,9.658333333
David,Bieb_11_3_2003_OV,Bieb_2003_3_11,Bieber,Bieb,2,grob,11/3/2003,11,3,2003,70,early,1,NA,Orectochilus villosus,OV,10.68,0.68,32.91429,NA,NA,NA,no,NA,2.586,0.0531,NA,mg,DM = a(L^b),24.26497122,9.658333333
David,Bieb_11_3_2003_OV,Bieb_2003_3_11,Bieber,Bieb,2,grob,11/3/2003,11,3,2003,70,early,1,NA,Orectochilus villosus,OV,9.34,0.62,32.91429,NA,NA,NA,no,NA,2.586,0.0531,NA,mg,DM = a(L^b),17.15582245,9.658333333
David,Bieb_30_8_2001_OV,Bieb_2001_8_30,Bieber,Bieb,2,fein,30/08/2001,30,8,2001,242,late,2,NA,Orectochilus villosus,OV,4.95,0.21,4,NA,NA,NA,no,NA,2.586,0.0531,NA,mg,DM = a(L^b),3.321571194,10.14166667
David,Auba_7_3_2018_OV,Auba_2018_3_7,Aubach oh Wiesenthal,Auba,1,Einzelexemplar,7/3/2018,7,3,2018,66,early,1,9.961518032,Orectochilus villosus,OV,10.77,0.62,15.2,NA,NA,NA,no,NA,2.586,0.0531,NA,mg,DM = a(L^b),24.79729621,9.741666667
David,Auba_12_6_2017_OV,Auba_2017_6_12,Aubach oh Wiesenthal,Auba,1,Einzelexemplar,12/6/2017,12,6,2017,163,late,2,8.736242286,Orectochilus villosus,OV,8.87,1.59,5.6,NA,NA,NA,yes,NA,2.586,0.0531,NA,mg,DM = a(L^b),15.0115315,10.00833333
