sample,site,yr,mo,day,DOY,taxa,ID_Art,Abundance_per_m2,spp_mm,Yryly_Temp
O3_2019_4_1,KiO3,2019,4,1,91,Eiseniella tetraedra,5075,1.846154,6,12.06920692
W1_2005_3_22,KiW1,2005,3,22,81,Eiseniella tetraedra,5075,4.8,6,NA
W1_2006_7_13,KiW1,2006,7,13,194,Eiseniella tetraedra,5075,0.8,6,NA
W1_2008_6_11,KiW1,2008,6,11,163,Eiseniella tetraedra,5075,2.742857,6,NA
W1_2009_6_13,KiW1,2009,6,13,164,Eiseniella tetraedra,5075,4.8,6,NA
W1_2010_6_25,KiW1,2010,6,25,176,Eiseniella tetraedra,5075,1.92,6,NA
W1_2013_6_27,KiW1,2013,6,27,178,Eiseniella tetraedra,5075,1.5,6,10.70776835
W1_2014_3_10,KiW1,2014,3,10,69,Eiseniella tetraedra,5075,0.96,6,11.30350443
W1_2015_3_17,KiW1,2015,3,17,76,Eiseniella tetraedra,5075,1.6,6,12.51601374
W1_2017_6_7,KiW1,2017,6,7,158,Eiseniella tetraedra,5075,5.6,6,11.34774636
W1_2018_3_9,KiW1,2018,3,9,68,Eiseniella tetraedra,5075,9.6,6,11.73744917
Auba_2001_4_23,Auba,2001,4,23,113,Ephemera danica,5124,4,3,NA
Auba_2001_6_21,Auba,2001,6,21,172,Ephemera danica,5124,2.4,3,NA
Auba_2001_9_4,Auba,2001,9,4,247,Ephemera danica,5124,0.8,3,NA
Auba_2003_3_17,Auba,2003,3,17,76,Ephemera danica,5124,3.2,3,NA
Auba_2003_7_15,Auba,2003,7,15,196,Ephemera danica,5124,5.6,3,NA
Auba_2004_4_6,Auba,2004,4,6,97,Ephemera danica,5124,15.2,3,NA
Auba_2004_7_10,Auba,2004,7,10,192,Ephemera danica,5124,49.6,3,NA
Auba_2005_3_24,Auba,2005,3,24,83,Ephemera danica,5124,102.8571,3,NA
Auba_2005_6_6,Auba,2005,6,6,157,Ephemera danica,5124,2.742857,3,NA
Auba_2006_4_10,Auba,2006,4,10,100,Ephemera danica,5124,15.36,3,NA
Auba_2006_6_15,Auba,2006,6,15,166,Ephemera danica,5124,11.52,3,NA
Auba_2007_3_11,Auba,2007,3,11,70,Ephemera danica,5124,24.32,3,NA
Auba_2007_7_12,Auba,2007,7,12,193,Ephemera danica,5124,26.4,3,NA
Auba_2008_4_23,Auba,2008,4,23,114,Ephemera danica,5124,19.80952,3,NA
Auba_2008_6_23,Auba,2008,6,23,175,Ephemera danica,5124,16.87912,3,NA
Auba_2009_4_8,Auba,2009,4,8,98,Ephemera danica,5124,2.285714,3,NA
Auba_2009_6_23,Auba,2009,6,23,174,Ephemera danica,5124,4.8,3,NA
Auba_2010_3_16,Auba,2010,3,16,75,Ephemera danica,5124,10.4,3,NA
Auba_2010_6_29,Auba,2010,6,29,180,Ephemera danica,5124,2.933333,3,NA
Auba_2011_3_24,Auba,2011,3,24,83,Ephemera danica,5124,10.24,3,NA
Auba_2011_7_25,Auba,2011,7,25,206,Ephemera danica,5124,5.066667,3,NA
Auba_2012_3_19,Auba,2012,3,19,79,Ephemera danica,5124,18.27368,3,NA
Auba_2012_6_21,Auba,2012,6,21,173,Ephemera danica,5124,28.95238,3,NA
Auba_2013_3_20,Auba,2013,3,20,79,Ephemera danica,5124,40,3,9.511455665
Auba_2013_6_17,Auba,2013,6,17,168,Ephemera danica,5124,52.4,3,9.168300937
Auba_2014_3_11,Auba,2014,3,11,70,Ephemera danica,5124,24.8,3,9.50444614
Auba_2014_6_17,Auba,2014,6,17,168,Ephemera danica,5124,22.6,3,9.290964368
Auba_2015_3_10,Auba,2015,3,10,69,Ephemera danica,5124,15.84,3,9.396444518
Auba_2015_6_16,Auba,2015,6,16,167,Ephemera danica,5124,34.4,3,9.98543913
Auba_2016_4_11,Auba,2016,4,11,102,Ephemera danica,5124,27.46667,3,10.48670238
Auba_2016_6_21,Auba,2016,6,21,173,Ephemera danica,5124,40,3,10.39995402
Auba_2017_3_16,Auba,2017,3,16,75,Ephemera danica,5124,63.54978,3,8.800749868
Auba_2017_6_12,Auba,2017,6,12,163,Ephemera danica,5124,119.2,3,8.736242286
Auba_2018_3_7,Auba,2018,3,7,66,Ephemera danica,5124,9.6,3,9.961518032
Auba_2018_6_15,Auba,2018,6,15,166,Ephemera danica,5124,80,3,10.19572503
Auba_2019_4_2,Auba,2019,4,2,92,Ephemera danica,5124,103.8961,3,10.33313505
Auba_2019_7_5,Auba,2019,7,5,186,Ephemera danica,5124,216,3,10.17502652
Bieb_2001_6_22,Bieb,2001,6,22,173,Ephemera danica,5124,0.8,3,NA
Bieb_2002_6_12,Bieb,2002,6,12,163,Ephemera danica,5124,10.4,3,NA
Bieb_2003_3_11,Bieb,2003,3,11,70,Ephemera danica,5124,4.114286,3,NA
Bieb_2003_7_14,Bieb,2003,7,14,195,Ephemera danica,5124,0.8,3,NA
Bieb_2004_4_5,Bieb,2004,4,5,96,Ephemera danica,5124,9.6,3,NA
Bieb_2004_7_9,Bieb,2004,7,9,191,Ephemera danica,5124,5.6,3,NA
Bieb_2006_4_10,Bieb,2006,4,10,100,Ephemera danica,5124,4.8,3,NA
Bieb_2007_3_22,Bieb,2007,3,22,81,Ephemera danica,5124,5.6,3,NA
Bieb_2010_3_16,Bieb,2010,3,16,75,Ephemera danica,5124,1.192547,3,NA
Bieb_2012_3_19,Bieb,2012,3,19,79,Ephemera danica,5124,18.63529,3,10.10923887
Bieb_2012_6_21,Bieb,2012,6,21,173,Ephemera danica,5124,1.309091,3,9.939641775
Bieb_2013_6_17,Bieb,2013,6,17,168,Ephemera danica,5124,2.181818,3,NA
Bieb_2014_3_11,Bieb,2014,3,11,70,Ephemera danica,5124,26.4,3,NA
Bieb_2014_6_17,Bieb,2014,6,17,168,Ephemera danica,5124,12,3,NA
Bieb_2015_3_25,Bieb,2015,3,25,84,Ephemera danica,5124,18.74286,3,NA
Bieb_2015_6_16,Bieb,2015,6,16,167,Ephemera danica,5124,14.4,3,10.40237364
Bieb_2016_4_11,Bieb,2016,4,11,102,Ephemera danica,5124,38.51429,3,10.6375945
Bieb_2016_6_21,Bieb,2016,6,21,173,Ephemera danica,5124,5.3,3,10.48123791
Bieb_2017_3_16,Bieb,2017,3,16,75,Ephemera danica,5124,58.4,3,9.507832251
Bieb_2017_6_12,Bieb,2017,6,12,163,Ephemera danica,5124,11.88571,3,9.597170391
Bieb_2018_3_7,Bieb,2018,3,7,66,Ephemera danica,5124,5.6,3,10.46529746
Bieb_2018_6_15,Bieb,2018,6,15,166,Ephemera danica,5124,0.8,3,10.61800637
Bieb_2019_4_2,Bieb,2019,4,2,92,Ephemera danica,5124,52.8,3,10.57369595
Bieb_2019_7_5,Bieb,2019,7,5,186,Ephemera danica,5124,52.8,3,10.3264125
O3_2005_3_22,KiO3,2005,3,22,81,Ephemera danica,5124,0.8,3,NA
O3_2006_6_21,KiO3,2006,6,21,172,Ephemera danica,5124,15.2,3,NA
O3_2007_4_12,KiO3,2007,4,12,102,Ephemera danica,5124,6.56,3,NA
O3_2007_7_20,KiO3,2007,7,20,201,Ephemera danica,5124,0.8,3,NA
O3_2008_4_28,KiO3,2008,4,28,119,Ephemera danica,5124,1.443609,3,NA
O3_2009_4_9,KiO3,2009,4,9,99,Ephemera danica,5124,1.52381,3,NA
O3_2010_6_28,KiO3,2010,6,28,179,Ephemera danica,5124,0.8,3,NA
O3_2011_7_21,KiO3,2011,7,21,202,Ephemera danica,5124,0.8,3,NA
O3_2012_3_21,KiO3,2012,3,21,81,Ephemera danica,5124,0.8,3,NA
O3_2012_7_12,KiO3,2012,7,12,194,Ephemera danica,5124,0.8,3,NA
O3_2013_7_1,KiO3,2013,7,1,182,Ephemera danica,5124,1.6,3,10.45683623
O3_2014_3_10,KiO3,2014,3,10,69,Ephemera danica,5124,3.047619,3,11.02946866
O3_2014_6_12,KiO3,2014,6,12,163,Ephemera danica,5124,4.8,3,10.81162656
O3_2015_3_17,KiO3,2015,3,17,76,Ephemera danica,5124,4.423529,3,10.40082664
O3_2016_4_25,KiO3,2016,4,25,116,Ephemera danica,5124,3.428571,3,12.20986753
O3_2017_3_28,KiO3,2017,3,28,87,Ephemera danica,5124,9.942857,3,10.64070401
O3_2017_6_2,KiO3,2017,6,2,153,Ephemera danica,5124,15.2381,3,10.87553422
O3_2018_6_7,KiO3,2018,6,7,158,Ephemera danica,5124,3.047619,3,11.63243278
O3_2019_4_1,KiO3,2019,4,1,91,Ephemera danica,5124,26.64615,3,12.06920692
O3_2019_6_18,KiO3,2019,6,18,169,Ephemera danica,5124,24.8,3,NA
W1_2005_3_22,KiW1,2005,3,22,81,Ephemera danica,5124,9.6,3,NA
W1_2006_7_13,KiW1,2006,7,13,194,Ephemera danica,5124,35.86087,3,NA
W1_2007_4_12,KiW1,2007,4,12,102,Ephemera danica,5124,28.8,3,NA
W1_2007_7_22,KiW1,2007,7,22,203,Ephemera danica,5124,5.2,3,NA
W1_2008_4_28,KiW1,2008,4,28,119,Ephemera danica,5124,6.338462,3,NA
W1_2008_6_11,KiW1,2008,6,11,163,Ephemera danica,5124,14.47619,3,NA
W1_2009_5_7,KiW1,2009,5,7,127,Ephemera danica,5124,45.6,3,NA
W1_2009_6_13,KiW1,2009,6,13,164,Ephemera danica,5124,10.4,3,NA
W1_2010_4_26,KiW1,2010,4,26,116,Ephemera danica,5124,22.02105,3,NA
W1_2010_6_25,KiW1,2010,6,25,176,Ephemera danica,5124,18.88,3,NA
W1_2011_4_20,KiW1,2011,4,20,110,Ephemera danica,5124,4.48,3,NA
W1_2011_7_4,KiW1,2011,7,4,185,Ephemera danica,5124,17,3,NA
W1_2012_3_21,KiW1,2012,3,21,81,Ephemera danica,5124,3.2,3,11.60336355
W1_2012_6_28,KiW1,2012,6,28,180,Ephemera danica,5124,12.8,3,11.39026067
W1_2013_4_9,KiW1,2013,4,9,99,Ephemera danica,5124,22.4,3,11.02415473
W1_2013_6_27,KiW1,2013,6,27,178,Ephemera danica,5124,39.8,3,10.70776835
W1_2014_3_10,KiW1,2014,3,10,69,Ephemera danica,5124,20.48,3,11.30350443
W1_2014_6_10,KiW1,2014,6,10,161,Ephemera danica,5124,71.26154,3,12.42919707
W1_2015_3_17,KiW1,2015,3,17,76,Ephemera danica,5124,16.8,3,12.51601374
W1_2015_7_2,KiW1,2015,7,2,183,Ephemera danica,5124,29.6,3,11.89020913
W1_2016_4_25,KiW1,2016,4,25,116,Ephemera danica,5124,38.4,3,12.20102467
W1_2016_7_12,KiW1,2016,7,12,194,Ephemera danica,5124,15.2,3,11.94031883
W1_2017_3_28,KiW1,2017,3,28,87,Ephemera danica,5124,99.2,3,11.21748961
W1_2017_6_7,KiW1,2017,6,7,158,Ephemera danica,5124,132.8,3,11.34774636
W1_2018_3_9,KiW1,2018,3,9,68,Ephemera danica,5124,188.8,3,11.73744917
W1_2018_6_5,KiW1,2018,6,5,156,Ephemera danica,5124,20.8,3,11.8018492
W1_2019_4_1,KiW1,2019,4,1,91,Ephemera danica,5124,67.15294,3,12.34428617
W1_2019_6_28,KiW1,2019,6,28,179,Ephemera danica,5124,20,3,NA
Auba_2001_9_4,Auba,2001,9,4,247,Gammarus roeselii,5292,0.8,2.25,NA
Auba_2006_6_15,Auba,2006,6,15,166,Gammarus roeselii,5292,2.88,2.25,NA
Auba_2008_6_23,Auba,2008,6,23,175,Gammarus roeselii,5292,0.761905,2.25,NA
Bieb_2016_4_11,Bieb,2016,4,11,102,Gammarus roeselii,5292,3.428571,2.25,10.6375945
O3_2002_7_2,KiO3,2002,7,2,183,Gammarus roeselii,5292,24.8,2.25,NA
O3_2005_3_22,KiO3,2005,3,22,81,Gammarus roeselii,5292,33.6,2.25,NA
O3_2006_6_21,KiO3,2006,6,21,172,Gammarus roeselii,5292,206.4,2.25,NA
O3_2007_4_12,KiO3,2007,4,12,102,Gammarus roeselii,5292,126.72,2.25,NA
O3_2007_7_20,KiO3,2007,7,20,201,Gammarus roeselii,5292,59.81538,2.25,NA
O3_2008_4_28,KiO3,2008,4,28,119,Gammarus roeselii,5292,70.21554,2.25,NA
O3_2008_6_11,KiO3,2008,6,11,163,Gammarus roeselii,5292,4.571429,2.25,NA
O3_2009_4_9,KiO3,2009,4,9,99,Gammarus roeselii,5292,40.38095,2.25,NA
O3_2009_6_23,KiO3,2009,6,23,174,Gammarus roeselii,5292,19.2,2.25,NA
O3_2010_4_26,KiO3,2010,4,26,116,Gammarus roeselii,5292,4.8,2.25,NA
O3_2010_6_28,KiO3,2010,6,28,179,Gammarus roeselii,5292,16.2,2.25,NA
O3_2011_4_20,KiO3,2011,4,20,110,Gammarus roeselii,5292,1.6,2.25,NA
O3_2011_7_21,KiO3,2011,7,21,202,Gammarus roeselii,5292,19.2,2.25,NA
O3_2012_3_21,KiO3,2012,3,21,81,Gammarus roeselii,5292,4.114286,2.25,NA
O3_2012_7_12,KiO3,2012,7,12,194,Gammarus roeselii,5292,125.4857,2.25,NA
O3_2013_4_25,KiO3,2013,4,25,115,Gammarus roeselii,5292,7.2,2.25,10.88388592
O3_2013_7_1,KiO3,2013,7,1,182,Gammarus roeselii,5292,21.6,2.25,10.45683623
O3_2014_3_10,KiO3,2014,3,10,69,Gammarus roeselii,5292,49.52381,2.25,11.02946866
O3_2014_6_12,KiO3,2014,6,12,163,Gammarus roeselii,5292,100.8,2.25,10.81162656
O3_2015_3_17,KiO3,2015,3,17,76,Gammarus roeselii,5292,66.35294,2.25,10.40082664
O3_2015_7_1,KiO3,2015,7,1,182,Gammarus roeselii,5292,91.2,2.25,11.43368182
O3_2016_4_25,KiO3,2016,4,25,116,Gammarus roeselii,5292,96,2.25,12.20986753
O3_2016_7_6,KiO3,2016,7,6,188,Gammarus roeselii,5292,381.9429,2.25,11.79098499
O3_2017_3_28,KiO3,2017,3,28,87,Gammarus roeselii,5292,28.57143,2.25,10.64070401
O3_2017_6_2,KiO3,2017,6,2,153,Gammarus roeselii,5292,105.1429,2.25,10.87553422
O3_2018_3_9,KiO3,2018,3,9,68,Gammarus roeselii,5292,78.85714,2.25,11.63718211
O3_2018_6_7,KiO3,2018,6,7,158,Gammarus roeselii,5292,111.2381,2.25,11.63243278
O3_2019_4_1,KiO3,2019,4,1,91,Gammarus roeselii,5292,62.76923,2.25,12.06920692
O3_2019_6_18,KiO3,2019,6,18,169,Gammarus roeselii,5292,344.4,2.25,NA
W1_2005_3_22,KiW1,2005,3,22,81,Gammarus roeselii,5292,24,2.25,NA
W1_2006_7_13,KiW1,2006,7,13,194,Gammarus roeselii,5292,12.06957,2.25,NA
W1_2007_4_12,KiW1,2007,4,12,102,Gammarus roeselii,5292,38.4,2.25,NA
W1_2007_7_22,KiW1,2007,7,22,203,Gammarus roeselii,5292,3.6,2.25,NA
W1_2008_4_28,KiW1,2008,4,28,119,Gammarus roeselii,5292,6.646154,2.25,NA
W1_2009_6_13,KiW1,2009,6,13,164,Gammarus roeselii,5292,19.2,2.25,NA
W1_2010_4_26,KiW1,2010,4,26,116,Gammarus roeselii,5292,9.094737,2.25,NA
W1_2010_6_25,KiW1,2010,6,25,176,Gammarus roeselii,5292,1.92,2.25,NA
W1_2011_4_20,KiW1,2011,4,20,110,Gammarus roeselii,5292,1.92,2.25,NA
W1_2011_7_4,KiW1,2011,7,4,185,Gammarus roeselii,5292,16.2,2.25,NA
W1_2012_3_21,KiW1,2012,3,21,81,Gammarus roeselii,5292,32.8,2.25,11.60336355
W1_2012_6_28,KiW1,2012,6,28,180,Gammarus roeselii,5292,9.6,2.25,11.39026067
W1_2013_4_9,KiW1,2013,4,9,99,Gammarus roeselii,5292,8,2.25,11.02415473
W1_2013_6_27,KiW1,2013,6,27,178,Gammarus roeselii,5292,9,2.25,10.70776835
W1_2014_3_10,KiW1,2014,3,10,69,Gammarus roeselii,5292,20.16,2.25,11.30350443
W1_2014_6_10,KiW1,2014,6,10,161,Gammarus roeselii,5292,27.69231,2.25,12.42919707
W1_2015_3_17,KiW1,2015,3,17,76,Gammarus roeselii,5292,7.2,2.25,12.51601374
W1_2015_7_2,KiW1,2015,7,2,183,Gammarus roeselii,5292,85.71429,2.25,11.89020913
W1_2016_4_25,KiW1,2016,4,25,116,Gammarus roeselii,5292,24,2.25,12.20102467
W1_2016_7_12,KiW1,2016,7,12,194,Gammarus roeselii,5292,32.64,2.25,11.94031883
W1_2017_3_28,KiW1,2017,3,28,87,Gammarus roeselii,5292,74.4,2.25,11.21748961
W1_2017_6_7,KiW1,2017,6,7,158,Gammarus roeselii,5292,60,2.25,11.34774636
W1_2018_3_9,KiW1,2018,3,9,68,Gammarus roeselii,5292,62.4,2.25,11.73744917
W1_2018_6_5,KiW1,2018,6,5,156,Gammarus roeselii,5292,19.2,2.25,11.8018492
W1_2019_4_1,KiW1,2019,4,1,91,Gammarus roeselii,5292,43.76471,2.25,12.34428617
W1_2019_6_28,KiW1,2019,6,28,179,Gammarus roeselii,5292,284.16,2.25,NA
Auba_2001_4_23,Auba,2001,4,23,113,Hydropsyche siltalai,5604,19.2,1.65,NA
Auba_2001_6_21,Auba,2001,6,21,172,Hydropsyche siltalai,5604,14.4,1.65,NA
Auba_2002_6_14,Auba,2002,6,14,165,Hydropsyche siltalai,5604,76.8,1.65,NA
Auba_2003_3_17,Auba,2003,3,17,76,Hydropsyche siltalai,5604,262.4,1.65,NA
Auba_2003_7_15,Auba,2003,7,15,196,Hydropsyche siltalai,5604,14.4,1.65,NA
Auba_2004_4_6,Auba,2004,4,6,97,Hydropsyche siltalai,5604,105.6,1.65,NA
Auba_2005_3_24,Auba,2005,3,24,83,Hydropsyche siltalai,5604,49.37143,1.65,NA
Auba_2005_6_6,Auba,2005,6,6,157,Hydropsyche siltalai,5604,39.77143,1.65,NA
Auba_2006_4_10,Auba,2006,4,10,100,Hydropsyche siltalai,5604,28.8,1.65,NA
Auba_2006_6_15,Auba,2006,6,15,166,Hydropsyche siltalai,5604,44.8,1.65,NA
Auba_2007_3_11,Auba,2007,3,11,70,Hydropsyche siltalai,5604,75.68,1.65,NA
Auba_2007_7_12,Auba,2007,7,12,193,Hydropsyche siltalai,5604,3.6,1.65,NA
Auba_2008_4_23,Auba,2008,4,23,114,Hydropsyche siltalai,5604,6.247619,1.65,NA
Auba_2008_6_23,Auba,2008,6,23,175,Hydropsyche siltalai,5604,2.871795,1.65,NA
Auba_2009_4_8,Auba,2009,4,8,98,Hydropsyche siltalai,5604,19.04762,1.65,NA
Auba_2009_6_23,Auba,2009,6,23,174,Hydropsyche siltalai,5604,19.2,1.65,NA
Auba_2010_3_16,Auba,2010,3,16,75,Hydropsyche siltalai,5604,14.4,1.65,NA
Auba_2010_6_29,Auba,2010,6,29,180,Hydropsyche siltalai,5604,6.133333,1.65,NA
Auba_2011_3_24,Auba,2011,3,24,83,Hydropsyche siltalai,5604,20.96,1.65,NA
Auba_2012_3_19,Auba,2012,3,19,79,Hydropsyche siltalai,5604,18.18947,1.65,NA
Auba_2012_6_21,Auba,2012,6,21,173,Hydropsyche siltalai,5604,2.285714,1.65,NA
Auba_2013_3_20,Auba,2013,3,20,79,Hydropsyche siltalai,5604,5,1.65,9.511455665
Auba_2013_6_17,Auba,2013,6,17,168,Hydropsyche siltalai,5604,1.2,1.65,9.168300937
Auba_2014_3_11,Auba,2014,3,11,70,Hydropsyche siltalai,5604,14.8,1.65,9.50444614
Auba_2015_3_10,Auba,2015,3,10,69,Hydropsyche siltalai,5604,7.52,1.65,9.396444518
Auba_2015_6_16,Auba,2015,6,16,167,Hydropsyche siltalai,5604,20.8,1.65,9.98543913
Auba_2016_4_11,Auba,2016,4,11,102,Hydropsyche siltalai,5604,44.26667,1.65,10.48670238
Auba_2016_6_21,Auba,2016,6,21,173,Hydropsyche siltalai,5604,1.6,1.65,10.39995402
Auba_2017_3_16,Auba,2017,3,16,75,Hydropsyche siltalai,5604,16.1039,1.65,8.800749868
Auba_2017_6_12,Auba,2017,6,12,163,Hydropsyche siltalai,5604,0.8,1.65,8.736242286
Auba_2018_3_7,Auba,2018,3,7,66,Hydropsyche siltalai,5604,486.4,1.65,9.961518032
Auba_2018_6_15,Auba,2018,6,15,166,Hydropsyche siltalai,5604,41.14286,1.65,10.19572503
Auba_2019_4_2,Auba,2019,4,2,92,Hydropsyche siltalai,5604,20.77922,1.65,10.33313505
Bieb_2001_4_26,Bieb,2001,4,26,116,Hydropsyche siltalai,5604,0.8,1.65,NA
Bieb_2001_6_22,Bieb,2001,6,22,173,Hydropsyche siltalai,5604,14.4,1.65,NA
Bieb_2001_8_30,Bieb,2001,8,30,242,Hydropsyche siltalai,5604,0.8,1.65,NA
Bieb_2002_6_12,Bieb,2002,6,12,163,Hydropsyche siltalai,5604,19.2,1.65,NA
Bieb_2003_3_11,Bieb,2003,3,11,70,Hydropsyche siltalai,5604,57.6,1.65,NA
Bieb_2003_7_14,Bieb,2003,7,14,195,Hydropsyche siltalai,5604,28.8,1.65,NA
Bieb_2004_4_5,Bieb,2004,4,5,96,Hydropsyche siltalai,5604,4.8,1.65,NA
Bieb_2004_7_9,Bieb,2004,7,9,191,Hydropsyche siltalai,5604,14.4,1.65,NA
Bieb_2006_7_13,Bieb,2006,7,13,194,Hydropsyche siltalai,5604,7.2,1.65,NA
Bieb_2007_3_22,Bieb,2007,3,22,81,Hydropsyche siltalai,5604,120,1.65,NA
Bieb_2007_7_12,Bieb,2007,7,12,193,Hydropsyche siltalai,5604,3.2,1.65,NA
Bieb_2008_4_24,Bieb,2008,4,24,115,Hydropsyche siltalai,5604,27.04762,1.65,NA
Bieb_2008_6_23,Bieb,2008,6,23,175,Hydropsyche siltalai,5604,6.857143,1.65,NA
Bieb_2009_4_8,Bieb,2009,4,8,98,Hydropsyche siltalai,5604,55.94558,1.65,NA
Bieb_2009_6_23,Bieb,2009,6,23,174,Hydropsyche siltalai,5604,17.01818,1.65,NA
Bieb_2010_3_16,Bieb,2010,3,16,75,Hydropsyche siltalai,5604,41.04348,1.65,NA
Bieb_2010_6_29,Bieb,2010,6,29,180,Hydropsyche siltalai,5604,5.6,1.65,NA
Bieb_2011_3_24,Bieb,2011,3,24,83,Hydropsyche siltalai,5604,9.6,1.65,NA
Bieb_2012_3_19,Bieb,2012,3,19,79,Hydropsyche siltalai,5604,15.24706,1.65,10.10923887
Bieb_2012_6_21,Bieb,2012,6,21,173,Hydropsyche siltalai,5604,1.309091,1.65,9.939641775
Bieb_2013_3_19,Bieb,2013,3,19,78,Hydropsyche siltalai,5604,28.8,1.65,NA
Bieb_2013_6_17,Bieb,2013,6,17,168,Hydropsyche siltalai,5604,2.981818,1.65,NA
Bieb_2014_3_11,Bieb,2014,3,11,70,Hydropsyche siltalai,5604,6,1.65,NA
Bieb_2014_6_17,Bieb,2014,6,17,168,Hydropsyche siltalai,5604,0.8,1.65,NA
Bieb_2015_6_16,Bieb,2015,6,16,167,Hydropsyche siltalai,5604,1.6,1.65,10.40237364
Bieb_2016_4_11,Bieb,2016,4,11,102,Hydropsyche siltalai,5604,112.9143,1.65,10.6375945
Bieb_2016_6_21,Bieb,2016,6,21,173,Hydropsyche siltalai,5604,9.1,1.65,10.48123791
Bieb_2017_3_16,Bieb,2017,3,16,75,Hydropsyche siltalai,5604,14.4,1.65,9.507832251
Bieb_2017_6_12,Bieb,2017,6,12,163,Hydropsyche siltalai,5604,16.91429,1.65,9.597170391
Bieb_2018_6_15,Bieb,2018,6,15,166,Hydropsyche siltalai,5604,0.8,1.65,10.61800637
Bieb_2019_4_2,Bieb,2019,4,2,92,Hydropsyche siltalai,5604,35.2,1.65,10.57369595
O3_2002_7_2,KiO3,2002,7,2,183,Hydropsyche siltalai,5604,16.8,1.65,NA
O3_2008_4_28,KiO3,2008,4,28,119,Hydropsyche siltalai,5604,2.887218,1.65,NA
O3_2008_6_11,KiO3,2008,6,11,163,Hydropsyche siltalai,5604,6.857143,1.65,NA
O3_2009_4_9,KiO3,2009,4,9,99,Hydropsyche siltalai,5604,2.285714,1.65,NA
O3_2009_6_23,KiO3,2009,6,23,174,Hydropsyche siltalai,5604,4.8,1.65,NA
O3_2010_4_26,KiO3,2010,4,26,116,Hydropsyche siltalai,5604,3.6,1.65,NA
O3_2010_6_28,KiO3,2010,6,28,179,Hydropsyche siltalai,5604,0.8,1.65,NA
O3_2011_4_20,KiO3,2011,4,20,110,Hydropsyche siltalai,5604,3.2,1.65,NA
O3_2017_3_28,KiO3,2017,3,28,87,Hydropsyche siltalai,5604,1.142857,1.65,10.64070401
O3_2018_6_7,KiO3,2018,6,7,158,Hydropsyche siltalai,5604,0.761905,1.65,11.63243278
O3_2019_4_1,KiO3,2019,4,1,91,Hydropsyche siltalai,5604,3.446154,1.65,12.06920692
W1_2005_3_22,KiW1,2005,3,22,81,Hydropsyche siltalai,5604,1.6,1.65,NA
W1_2007_4_12,KiW1,2007,4,12,102,Hydropsyche siltalai,5604,8,1.65,NA
W1_2008_4_28,KiW1,2008,4,28,119,Hydropsyche siltalai,5604,2.215385,1.65,NA
W1_2008_6_11,KiW1,2008,6,11,163,Hydropsyche siltalai,5604,12.49524,1.65,NA
W1_2009_5_7,KiW1,2009,5,7,127,Hydropsyche siltalai,5604,9.6,1.65,NA
W1_2009_6_13,KiW1,2009,6,13,164,Hydropsyche siltalai,5604,34.4,1.65,NA
W1_2010_4_26,KiW1,2010,4,26,116,Hydropsyche siltalai,5604,4.547368,1.65,NA
W1_2010_6_25,KiW1,2010,6,25,176,Hydropsyche siltalai,5604,1.92,1.65,NA
W1_2011_4_20,KiW1,2011,4,20,110,Hydropsyche siltalai,5604,2.72,1.65,NA
W1_2011_7_4,KiW1,2011,7,4,185,Hydropsyche siltalai,5604,4.4,1.65,NA
W1_2013_4_9,KiW1,2013,4,9,99,Hydropsyche siltalai,5604,0.8,1.65,11.02415473
W1_2015_3_17,KiW1,2015,3,17,76,Hydropsyche siltalai,5604,1.6,1.65,12.51601374
W1_2016_4_25,KiW1,2016,4,25,116,Hydropsyche siltalai,5604,0.8,1.65,12.20102467
W1_2017_6_7,KiW1,2017,6,7,158,Hydropsyche siltalai,5604,3.2,1.65,11.34774636
W1_2018_3_9,KiW1,2018,3,9,68,Hydropsyche siltalai,5604,4.8,1.65,11.73744917
W1_2018_6_5,KiW1,2018,6,5,156,Hydropsyche siltalai,5604,1.6,1.65,11.8018492
Auba_2007_3_11,Auba,2007,3,11,70,Orectochilus villosus,18613,3.68,0.9375,NA
Auba_2013_3_20,Auba,2013,3,20,79,Orectochilus villosus,18613,4,0.9375,9.511455665
Auba_2015_3_10,Auba,2015,3,10,69,Orectochilus villosus,18613,3.84,0.9375,9.396444518
Auba_2016_4_11,Auba,2016,4,11,102,Orectochilus villosus,18613,2.666667,0.9375,10.48670238
Auba_2017_3_16,Auba,2017,3,16,75,Orectochilus villosus,18613,1.142857,0.9375,8.800749868
Auba_2017_6_12,Auba,2017,6,12,163,Orectochilus villosus,18613,5.6,0.9375,8.736242286
Auba_2018_3_7,Auba,2018,3,7,66,Orectochilus villosus,18613,15.2,0.9375,9.961518032
Bieb_2001_4_26,Bieb,2001,4,26,116,Orectochilus villosus,18613,1.6,0.9375,NA
Bieb_2001_8_30,Bieb,2001,8,30,242,Orectochilus villosus,18613,4,0.9375,NA
Bieb_2003_3_11,Bieb,2003,3,11,70,Orectochilus villosus,18613,32.91429,0.9375,NA
Bieb_2003_7_14,Bieb,2003,7,14,195,Orectochilus villosus,18613,0.8,0.9375,NA
Bieb_2004_4_5,Bieb,2004,4,5,96,Orectochilus villosus,18613,14.4,0.9375,NA
Bieb_2006_4_10,Bieb,2006,4,10,100,Orectochilus villosus,18613,24,0.9375,NA
Bieb_2007_3_22,Bieb,2007,3,22,81,Orectochilus villosus,18613,52.8,0.9375,NA
