sample,site,yr,mo,day,DOY,taxa,ID_Art,Abundance_per_m2,spp_cm,spp_mm,b,a,log10(a),unit,dry_mass_original,dry_mass_mg,Yryly_Temp_old,Yryly_Temp
Auba_2006_6_15,Auba,2006,6,15,166,Rhyacophila nubila,6772,14.4,1.875,18.75,2.48,0.0099,NA,mg,14.2127576,14.2127576,NA,8.991666667
Auba_2010_3_16,Auba,2010,3,16,75,Baetis sp.,4419,28.8,0.9375,9.375,2.875,0.0053,NA,mg,3.301363073,3.301363073,NA,9.533333333
Auba_2010_3_16,Auba,2010,3,16,75,Odontocerum albicorne,6168,14.4,1.875,18.75,2.988,0.0077,NA,mg,49.00253258,49.00253258,NA,9.533333333
Auba_2018_3_7,Auba,2018,3,7,66,Baetis fuscatus/scambus,4398,28.8,0.9375,9.375,2.875,0.0053,NA,mg,3.301363073,3.301363073,9.961518032,9.741666667
Auba_2013_3_20,Auba,2013,3,20,79,Eloeophila sp.,9654,29,0.9375,9.375,2.681,0.0029,NA,mg,1.170180859,1.170180859,9.511455665,9.041666667
Auba_2017_3_16,Auba,2017,3,16,75,Eiseniella tetraedra,5075,4.536797,6,60,1.54,0.005888437,-2.23,mg,3.223687428,3.223687428,8.800749868,9.85
Auba_2010_6_29,Auba,2010,6,29,180,Baetis rhodani,4415,29.06667,0.9375,9.375,2.875,0.0053,NA,mg,3.301363073,3.301363073,NA,9.141666667
Auba_2019_4_2,Auba,2019,4,2,92,Odontocerum albicorne,6168,14.54545,1.875,18.75,2.988,0.0077,NA,mg,49.00253258,49.00253258,10.33313505,11.3
Auba_2005_6_6,Auba,2005,6,6,157,Haplotaxis gordioides,5401,2.742857,10,100,1.54,0.005888437,-2.23,mg,7.079457844,7.079457844,NA,9.333333333
Auba_2001_9_4,Auba,2001,9,4,247,Leuctra sp.,5790,29.6,0.9375,9.375,2.719,0.0028,NA,mg,1.230121281,1.230121281,NA,9.75
Auba_2003_7_15,Auba,2003,7,15,196,Protonemura sp.,6616,29.6,0.9375,9.375,2.762,0.0056,NA,mg,2.708773502,2.708773502,NA,10.05
Auba_2006_4_10,Auba,2006,4,10,100,Protonemura sp.,6616,29.6,0.9375,9.375,2.762,0.0056,NA,mg,2.708773502,2.708773502,NA,8.958333333
Auba_2011_7_25,Auba,2011,7,25,206,Leuctra sp.,5790,29.6,0.9375,9.375,2.719,0.0028,NA,mg,1.230121281,1.230121281,NA,9.133333333
Auba_2012_6_21,Auba,2012,6,21,173,Leuctra sp.,5790,29.71429,0.9375,9.375,2.719,0.0028,NA,mg,1.230121281,1.230121281,NA,9.633333333
Auba_2004_4_6,Auba,2004,4,6,97,Heptageniidae Gen. sp.,5458,19.2,1.453125,14.53125,2.754,0.0108,NA,mg,17.15560931,17.15560931,NA,10.525
Auba_2019_4_2,Auba,2019,4,2,92,Pisidium sp.,6425,41.21212,0.6875,6.875,2.477,0.0163,NA,mg,1.932467009,1.932467009,10.33313505,11.3
Auba_2006_4_10,Auba,2006,4,10,100,Rhithrogena semicolorata-Gr.,6745,21.6,1.3125,13.125,2.754,0.0108,NA,mg,12.96191774,12.96191774,NA,8.958333333
Auba_2017_3_16,Auba,2017,3,16,75,Limnephilidae Gen. sp.,5809,14.54545,1.958333333,19.58333333,2.933,0.004,NA,mg,24.6129368,24.6129368,8.800749868,9.85
Auba_2001_4_23,Auba,2001,4,23,113,Rhyacophila nubila,6772,15.2,1.875,18.75,2.48,0.0099,NA,mg,14.2127576,14.2127576,NA,9.75
Auba_2004_7_10,Auba,2004,7,10,192,Rhyacophila nubila,6772,15.2,1.875,18.75,2.48,0.0099,NA,mg,14.2127576,14.2127576,NA,9.641666667
Auba_2002_6_14,Auba,2002,6,14,165,Atherix ibis,4363,9.6,3,30,2.586,0.004,NA,mg,26.41773358,26.41773358,NA,9.808333333
Auba_2003_7_15,Auba,2003,7,15,196,Empididae Gen. sp.,5097,38.4,0.75,7.5,2.546,0.0054,NA,mg,0.912640498,0.912640498,NA,10.05
Auba_2006_4_10,Auba,2006,4,10,100,Dicranota sp.,4955,7.68,3.75,37.5,2.681,0.0029,NA,mg,48.12556339,48.12556339,NA,8.958333333
Auba_2013_6_17,Auba,2013,6,17,168,Atherix ibis,4363,9.6,3,30,2.586,0.004,NA,mg,26.41773358,26.41773358,9.168300937,8.8
Auba_2018_3_7,Auba,2018,3,7,66,Ephemera danica,5124,9.6,3,30,2.764,0.0034,NA,mg,41.13789497,41.13789497,9.961518032,9.741666667
Auba_2018_6_15,Auba,2018,6,15,166,Chaetopteryx villosa ssp.,21248,13.71429,2.1,21,2.933,0.004,NA,mg,30.20850152,30.20850152,10.19572503,10.325
Auba_2007_7_12,Auba,2007,7,12,193,Baetis rhodani,4415,30.8,0.9375,9.375,2.875,0.0053,NA,mg,3.301363073,3.301363073,NA,11.33333333
Auba_2016_4_11,Auba,2016,4,11,102,Baetis rhodani,4415,30.93333,0.9375,9.375,2.875,0.0053,NA,mg,3.301363073,3.301363073,10.48670238,10.475
Auba_2014_3_11,Auba,2014,3,11,70,Heptageniidae Gen. sp.,5458,20,1.453125,14.53125,2.754,0.0108,NA,mg,17.15560931,17.15560931,9.50444614,10.34166667
Auba_2003_3_17,Auba,2003,3,17,76,Amphinemura sp.,4293,44.8,0.65625,6.5625,2.762,0.0056,NA,mg,1.011424522,1.011424522,NA,9.483333333
Auba_2016_4_11,Auba,2016,4,11,102,Ephemerella mucronata,5135,39.46667,0.75,7.5,2.676,0.0103,NA,mg,2.262044611,2.262044611,10.48670238,10.475
Auba_2001_4_23,Auba,2001,4,23,113,Rhyacophila tristis,6784,16,1.875,18.75,2.48,0.0099,NA,mg,14.2127576,14.2127576,NA,9.75
Auba_2005_6_6,Auba,2005,6,6,157,Baetis rhodani,4415,32,0.9375,9.375,2.875,0.0053,NA,mg,3.301363073,3.301363073,NA,9.333333333
Auba_2013_3_20,Auba,2013,3,20,79,Dicranota sp.,4955,8,3.75,37.5,2.681,0.0029,NA,mg,48.12556339,48.12556339,9.511455665,9.041666667
Auba_2015_6_16,Auba,2015,6,16,167,Odontocerum albicorne,6168,16,1.875,18.75,2.988,0.0077,NA,mg,49.00253258,49.00253258,9.98543913,10.025
Auba_2016_4_11,Auba,2016,4,11,102,Baetis muticus,4409,32,0.9375,9.375,2.875,0.0053,NA,mg,3.301363073,3.301363073,10.48670238,10.475
Auba_2012_3_19,Auba,2012,3,19,79,Hydropsyche siltalai,5604,18.18947,1.65,16.5,2.926,0.0046,NA,mg,16.79251916,16.79251916,NA,10.00833333
Auba_2007_3_11,Auba,2007,3,11,70,Stylodrilus heringianus,6935,8.64,3.5,35,1.54,0.005888437,-2.23,mg,1.405609838,1.405609838,NA,11.24166667
Auba_2007_3_11,Auba,2007,3,11,70,Baetis rhodani,4415,32.48,0.9375,9.375,2.875,0.0053,NA,mg,3.301363073,3.301363073,NA,11.24166667
Auba_2014_6_17,Auba,2014,6,17,168,Heptageniidae Gen. sp.,5458,21,1.453125,14.53125,2.754,0.0108,NA,mg,17.15560931,17.15560931,9.290964368,10.69166667
Auba_2017_3_16,Auba,2017,3,16,75,Dicranota sp.,4955,8.138528,3.75,37.5,2.681,0.0029,NA,mg,48.12556339,48.12556339,8.800749868,9.85
Auba_2017_3_16,Auba,2017,3,16,75,Halesus digitatus/radiatus/tesselatus,13125,10.21645,3,30,2.933,0.004,NA,mg,85.99171914,85.99171914,8.800749868,9.85
Auba_2011_3_24,Auba,2011,3,24,83,Ephemera danica,5124,10.24,3,30,2.764,0.0034,NA,mg,41.13789497,41.13789497,NA,8.966666667
Auba_2005_3_24,Auba,2005,3,24,83,Rhyacophila tristis,6784,16.45714,1.875,18.75,2.48,0.0099,NA,mg,14.2127576,14.2127576,NA,9.1
Auba_2008_4_23,Auba,2008,4,23,114,Dicranota sp.,4955,8.228571,3.75,37.5,2.681,0.0029,NA,mg,48.12556339,48.12556339,NA,9.475
Auba_2017_3_16,Auba,2017,3,16,75,Hydropsyche sp.,5605,18.7013,1.65,16.5,2.926,0.0046,NA,mg,16.79251916,16.79251916,8.800749868,9.85
Auba_2005_3_24,Auba,2005,3,24,83,Anomalopterygella chauviniana,4327,32.91429,0.9375,9.375,2.933,0.004,NA,mg,2.836950414,2.836950414,NA,9.1
Auba_2014_6_17,Auba,2014,6,17,168,Leuctra sp.,5790,33,0.9375,9.375,2.719,0.0028,NA,mg,1.230121281,1.230121281,9.290964368,10.69166667
Auba_2009_4_8,Auba,2009,4,8,98,Limnius sp.,18419,47.2381,0.65625,6.5625,2.879,0.0074,NA,mg,1.66561369,1.66561369,NA,9.5
Auba_2010_3_16,Auba,2010,3,16,75,Ephemera danica,5124,10.4,3,30,2.764,0.0034,NA,mg,41.13789497,41.13789497,NA,9.533333333
Auba_2012_3_19,Auba,2012,3,19,79,Odontocerum albicorne,6168,16.67368,1.875,18.75,2.988,0.0077,NA,mg,49.00253258,49.00253258,NA,10.00833333
Auba_2009_4_8,Auba,2009,4,8,98,Hydropsyche siltalai,5604,19.04762,1.65,16.5,2.926,0.0046,NA,mg,16.79251916,16.79251916,NA,9.5
Auba_2002_6_14,Auba,2002,6,14,165,Anomalopterygella chauviniana,4327,33.6,0.9375,9.375,2.933,0.004,NA,mg,2.836950414,2.836950414,NA,9.808333333
Auba_2004_4_6,Auba,2004,4,6,97,Limnius volckmari,18421,48,0.65625,6.5625,2.879,0.0074,NA,mg,1.66561369,1.66561369,NA,10.525
Auba_2004_7_10,Auba,2004,7,10,192,Limnius perrisi,18418,48,0.65625,6.5625,2.879,0.0074,NA,mg,1.66561369,1.66561369,NA,9.641666667
Auba_2017_6_12,Auba,2017,6,12,163,Rhithrogena semicolorata-Gr.,6745,24,1.3125,13.125,2.754,0.0108,NA,mg,12.96191774,12.96191774,8.736242286,10.00833333
Auba_2001_4_23,Auba,2001,4,23,113,Hydropsyche siltalai,5604,19.2,1.65,16.5,2.926,0.0046,NA,mg,16.79251916,16.79251916,NA,9.75
Auba_2006_4_10,Auba,2006,4,10,100,Hydropsyche sp.,5605,19.2,1.65,16.5,2.926,0.0046,NA,mg,16.79251916,16.79251916,NA,8.958333333
Auba_2009_6_23,Auba,2009,6,23,174,Hydropsyche siltalai,5604,19.2,1.65,16.5,2.926,0.0046,NA,mg,16.79251916,16.79251916,NA,9.175
Auba_2016_4_11,Auba,2016,4,11,102,Halesus digitatus/radiatus/tesselatus,13125,10.66667,3,30,2.933,0.004,NA,mg,85.99171914,85.99171914,10.48670238,10.475
Auba_2018_6_15,Auba,2018,6,15,166,Baetis rhodani,4415,34.28571,0.9375,9.375,2.875,0.0053,NA,mg,3.301363073,3.301363073,10.19572503,10.325
Auba_2015_3_10,Auba,2015,3,10,69,Leuctra sp.,5790,34.4,0.9375,9.375,2.719,0.0028,NA,mg,1.230121281,1.230121281,9.396444518,10.16666667
Auba_2003_3_17,Auba,2003,3,17,76,Ancylus fluviatilis,4310,28.8,1.125,11.25,2.7,0.028840315,-1.54,mg,19.8660631,19.8660631,NA,9.483333333
Auba_2017_6_12,Auba,2017,6,12,163,Elmis aenea/maugetii/rietscheli/rioloides,20171,86.4,0.375,3.75,2.879,0.0074,NA,mg,0.33255826,0.33255826,8.736242286,10.00833333
Auba_2017_3_16,Auba,2017,3,16,75,Agapetus sp.,4254,43.63636,0.75,7.5,2.958,0.0082,NA,mg,3.178667266,3.178667266,8.800749868,9.85
Auba_2001_4_23,Auba,2001,4,23,113,Limnephilidae Gen. sp.,5809,16.8,1.958333333,19.58333333,2.933,0.004,NA,mg,24.6129368,24.6129368,NA,9.75
Auba_2001_6_21,Auba,2001,6,21,172,Protonemura sp.,6616,35.2,0.9375,9.375,2.762,0.0056,NA,mg,2.708773502,2.708773502,NA,9.525
Auba_2019_7_5,Auba,2019,7,5,186,Pisidium sp.,6425,48,0.6875,6.875,2.477,0.0163,NA,mg,1.932467009,1.932467009,10.17502652,10.84166667
Auba_2005_6_6,Auba,2005,6,6,157,Leuctra sp.,5790,35.65714,0.9375,9.375,2.719,0.0028,NA,mg,1.230121281,1.230121281,NA,9.333333333
Auba_2008_4_23,Auba,2008,4,23,114,Agapetus sp.,4254,44.8,0.75,7.5,2.958,0.0082,NA,mg,3.178667266,3.178667266,NA,9.475
Auba_2004_4_6,Auba,2004,4,6,97,Lumbriculidae Gen. sp.,7490,9.6,3.5,35,1.54,0.005888437,-2.23,mg,1.405609838,1.405609838,NA,10.525
Auba_2004_4_6,Auba,2004,4,6,97,Stylodrilus heringianus,6935,9.6,3.5,35,1.54,0.005888437,-2.23,mg,1.405609838,1.405609838,NA,10.525
Auba_2013_6_17,Auba,2013,6,17,168,Rhyacophila nubila,6772,18,1.875,18.75,2.48,0.0099,NA,mg,14.2127576,14.2127576,9.168300937,8.8
Auba_2016_4_11,Auba,2016,4,11,102,Agapetus sp.,4254,45.33333,0.75,7.5,2.958,0.0082,NA,mg,3.178667266,3.178667266,10.48670238,10.475
Auba_2019_4_2,Auba,2019,4,2,92,Hydropsyche siltalai,5604,20.77922,1.65,16.5,2.926,0.0046,NA,mg,16.79251916,16.79251916,10.33313505,11.3
Auba_2018_6_15,Auba,2018,6,15,166,Gammarus sp.,5293,15.2381,2.25,22.5,3.015,0.0058,NA,mg,69.22425423,69.22425423,10.19572503,10.325
Auba_2015_6_16,Auba,2015,6,16,167,Hydropsyche siltalai,5604,20.8,1.65,16.5,2.926,0.0046,NA,mg,16.79251916,16.79251916,9.98543913,10.025
Auba_2009_6_23,Auba,2009,6,23,174,Baetis rhodani,4415,36.8,0.9375,9.375,2.875,0.0053,NA,mg,3.301363073,3.301363073,NA,9.175
Auba_2006_6_15,Auba,2006,6,15,166,Ephemera danica,5124,11.52,3,30,2.764,0.0034,NA,mg,41.13789497,41.13789497,NA,8.991666667
Auba_2011_3_24,Auba,2011,3,24,83,Hydropsyche siltalai,5604,20.96,1.65,16.5,2.926,0.0046,NA,mg,16.79251916,16.79251916,NA,8.966666667
Auba_2004_7_10,Auba,2004,7,10,192,Heptageniidae Gen. sp.,5458,24,1.453125,14.53125,2.754,0.0108,NA,mg,17.15560931,17.15560931,NA,9.641666667
Auba_2009_4_8,Auba,2009,4,8,98,Hydropsyche sp.,5605,21.33333,1.65,16.5,2.926,0.0046,NA,mg,16.79251916,16.79251916,NA,9.5
Auba_2012_3_19,Auba,2012,3,19,79,Sericostoma flavicorne/personatum,9747,23.53684,1.5,15,2.741,0.0074,NA,mg,12.38505275,12.38505275,NA,10.00833333
Auba_2012_6_21,Auba,2012,6,21,173,Sericostoma flavicorne/personatum,9747,23.61905,1.5,15,2.741,0.0074,NA,mg,12.38505275,12.38505275,NA,9.633333333
Auba_2010_3_16,Auba,2010,3,16,75,Hydropsyche sp.,5605,21.6,1.65,16.5,2.926,0.0046,NA,mg,16.79251916,16.79251916,NA,9.533333333
Auba_2001_6_21,Auba,2001,6,21,172,Sericostoma flavicorne/personatum,9747,24,1.5,15,2.741,0.0074,NA,mg,12.38505275,12.38505275,NA,9.525
Auba_2003_3_17,Auba,2003,3,17,76,Baetis sp.,4419,38.4,0.9375,9.375,2.875,0.0053,NA,mg,3.301363073,3.301363073,NA,9.483333333
Auba_2003_7_15,Auba,2003,7,15,196,Tabanidae Gen. sp.,8485,9.6,3.75,37.5,2.591,0.005,NA,mg,59.88044498,59.88044498,NA,10.05
Auba_2004_4_6,Auba,2004,4,6,97,Baetis muticus,4409,38.4,0.9375,9.375,2.875,0.0053,NA,mg,3.301363073,3.301363073,NA,10.525
Auba_2004_7_10,Auba,2004,7,10,192,Baetis rhodani,4415,38.4,0.9375,9.375,2.875,0.0053,NA,mg,3.301363073,3.301363073,NA,9.641666667
Auba_2004_7_10,Auba,2004,7,10,192,Odontocerum albicorne,6168,19.2,1.875,18.75,2.988,0.0077,NA,mg,49.00253258,49.00253258,NA,9.641666667
Auba_2005_6_6,Auba,2005,6,6,157,Dicranota sp.,4955,9.6,3.75,37.5,2.681,0.0029,NA,mg,48.12556339,48.12556339,NA,9.333333333
Auba_2015_6_16,Auba,2015,6,16,167,Ephemerellidae Gen. sp.,8408,48,0.75,7.5,2.676,0.0103,NA,mg,2.262044611,2.262044611,9.98543913,10.025
Auba_2015_6_16,Auba,2015,6,16,167,Leuctra sp.,5790,38.4,0.9375,9.375,2.719,0.0028,NA,mg,1.230121281,1.230121281,9.98543913,10.025
Auba_2017_6_12,Auba,2017,6,12,163,Tabanidae Gen. sp.,8485,9.6,3.75,37.5,2.591,0.005,NA,mg,59.88044498,59.88044498,8.736242286,10.00833333
Auba_2001_4_23,Auba,2001,4,23,113,Limnius perrisi,18418,55.2,0.65625,6.5625,2.879,0.0074,NA,mg,1.66561369,1.66561369,NA,9.75
Auba_2010_3_16,Auba,2010,3,16,75,Leuctra sp.,5790,39.2,0.9375,9.375,2.719,0.0028,NA,mg,1.230121281,1.230121281,NA,9.533333333
Auba_2015_6_16,Auba,2015,6,16,167,Baetis sp.,4419,39.2,0.9375,9.375,2.875,0.0053,NA,mg,3.301363073,3.301363073,9.98543913,10.025
Auba_2015_6_16,Auba,2015,6,16,167,Chaetopteryx villosa ssp.,21248,17.6,2.1,21,2.933,0.004,NA,mg,30.20850152,30.20850152,9.98543913,10.025
Auba_2013_3_20,Auba,2013,3,20,79,Limnephilidae Gen. sp.,5809,19,1.958333333,19.58333333,2.933,0.004,NA,mg,24.6129368,24.6129368,9.511455665,9.041666667
Auba_2019_4_2,Auba,2019,4,2,92,Lumbricidae Gen. sp.,5900,6.233766,6,60,1.54,0.005888437,-2.23,mg,3.223687428,3.223687428,10.33313505,11.3
Auba_2013_3_20,Auba,2013,3,20,79,Tabanidae Gen. sp.,8485,10,3.75,37.5,2.591,0.005,NA,mg,59.88044498,59.88044498,9.511455665,9.041666667
Auba_2003_7_15,Auba,2003,7,15,196,Limnephilidae Gen. sp.,5809,19.2,1.958333333,19.58333333,2.933,0.004,NA,mg,24.6129368,24.6129368,NA,10.05
Auba_2018_6_15,Auba,2018,6,15,166,Ephemerellidae Gen. sp.,8408,50.28571,0.75,7.5,2.676,0.0103,NA,mg,2.262044611,2.262044611,10.19572503,10.325
Auba_2005_3_24,Auba,2005,3,24,83,Limnius perrisi,18418,57.6,0.65625,6.5625,2.879,0.0074,NA,mg,1.66561369,1.66561369,NA,9.1
Auba_2011_7_25,Auba,2011,7,25,206,Limnius sp.,18419,57.6,0.65625,6.5625,2.879,0.0074,NA,mg,1.66561369,1.66561369,NA,9.133333333
Auba_2017_6_12,Auba,2017,6,12,163,Brachycentrus maculatus,6184,28.8,1.3125,13.125,2.818,0.0083,NA,mg,11.74578248,11.74578248,8.736242286,10.00833333
Auba_2018_3_7,Auba,2018,3,7,66,Rhithrogena semicolorata-Gr.,6745,28.8,1.3125,13.125,2.754,0.0108,NA,mg,12.96191774,12.96191774,9.961518032,9.741666667
Auba_2012_6_21,Auba,2012,6,21,173,Limnius sp.,18419,57.90476,0.65625,6.5625,2.879,0.0074,NA,mg,1.66561369,1.66561369,NA,9.633333333
Auba_2001_6_21,Auba,2001,6,21,172,Baetis sp.,4419,40.8,0.9375,9.375,2.875,0.0053,NA,mg,3.301363073,3.301363073,NA,9.525
Auba_2003_3_17,Auba,2003,3,17,76,Ecdyonurus venosus,5058,25.6,1.5,15,2.754,0.0108,NA,mg,18.72315717,18.72315717,NA,9.483333333
Auba_2007_7_12,Auba,2007,7,12,193,Limnius sp.,18419,58.8,0.65625,6.5625,2.879,0.0074,NA,mg,1.66561369,1.66561369,NA,11.33333333
Auba_2014_3_11,Auba,2014,3,11,70,Sericostoma flavicorne/personatum,9747,26,1.5,15,2.741,0.0074,NA,mg,12.38505275,12.38505275,9.50444614,10.34166667
Auba_2018_3_7,Auba,2018,3,7,66,Agapetus sp.,4254,52.8,0.75,7.5,2.958,0.0082,NA,mg,3.178667266,3.178667266,9.961518032,9.741666667
Auba_2001_9_4,Auba,2001,9,4,247,Pisidium sp.,6425,57.6,0.6875,6.875,2.477,0.0163,NA,mg,1.932467009,1.932467009,NA,9.75
Auba_2015_3_10,Auba,2015,3,10,69,Rhithrogena semicolorata-Gr.,6745,30.4,1.3125,13.125,2.754,0.0108,NA,mg,12.96191774,12.96191774,9.396444518,10.16666667
Auba_2006_4_10,Auba,2006,4,10,100,Halesus digitatus/radiatus/tesselatus,13125,13.44,3,30,2.933,0.004,NA,mg,85.99171914,85.99171914,NA,8.958333333
Auba_2018_3_7,Auba,2018,3,7,66,Leuctra sp.,5790,43.2,0.9375,9.375,2.719,0.0028,NA,mg,1.230121281,1.230121281,9.961518032,9.741666667
Auba_2007_7_12,Auba,2007,7,12,193,Serratella ignita,5131,54.8,0.75,7.5,2.676,0.0103,NA,mg,2.262044611,2.262044611,NA,11.33333333
Auba_2017_3_16,Auba,2017,3,16,75,Sericostoma flavicorne/personatum,9747,27.42857,1.5,15,2.741,0.0074,NA,mg,12.38505275,12.38505275,8.800749868,9.85
Auba_2018_6_15,Auba,2018,6,15,166,Sericostoma flavicorne/personatum,9747,27.42857,1.5,15,2.741,0.0074,NA,mg,12.38505275,12.38505275,10.19572503,10.325
Auba_2005_6_6,Auba,2005,6,6,157,Rhyacophila nubila,6772,21.94286,1.875,18.75,2.48,0.0099,NA,mg,14.2127576,14.2127576,NA,9.333333333
Auba_2013_3_20,Auba,2013,3,20,79,Lepidostoma basale,5713,44,0.9375,9.375,2.649,0.0079,NA,mg,2.967419884,2.967419884,9.511455665,9.041666667
Auba_2005_3_24,Auba,2005,3,24,83,Ephemerella mucronata,5135,55.08571,0.75,7.5,2.676,0.0103,NA,mg,2.262044611,2.262044611,NA,9.1
Auba_2001_9_4,Auba,2001,9,4,247,Rhyacophila nubila,6772,22.4,1.875,18.75,2.48,0.0099,NA,mg,14.2127576,14.2127576,NA,9.75
Auba_2013_3_20,Auba,2013,3,20,79,Sericostoma flavicorne/personatum,9747,28,1.5,15,2.741,0.0074,NA,mg,12.38505275,12.38505275,9.511455665,9.041666667
Auba_2012_3_19,Auba,2012,3,19,79,Protonemura sp.,6616,45.47368,0.9375,9.375,2.762,0.0056,NA,mg,2.708773502,2.708773502,NA,10.00833333
Auba_2014_6_17,Auba,2014,6,17,168,Baetis rhodani,4415,45.8,0.9375,9.375,2.875,0.0053,NA,mg,3.301363073,3.301363073,9.290964368,10.69166667
Auba_2006_6_15,Auba,2006,6,15,166,Tabanidae Gen. sp.,8485,11.52,3.75,37.5,2.591,0.005,NA,mg,59.88044498,59.88044498,NA,8.991666667
Auba_2011_3_24,Auba,2011,3,24,83,Dicranota sp.,4955,11.52,3.75,37.5,2.681,0.0029,NA,mg,48.12556339,48.12556339,NA,8.966666667
Auba_2003_3_17,Auba,2003,3,17,76,Agapetus sp.,4254,57.6,0.75,7.5,2.958,0.0082,NA,mg,3.178667266,3.178667266,NA,9.483333333
Auba_2003_3_17,Auba,2003,3,17,76,Epeorus assimilis,12550,28.8,1.5,15,2.754,0.0108,NA,mg,18.72315717,18.72315717,NA,9.483333333
Auba_2013_6_17,Auba,2013,6,17,168,Sericostoma flavicorne/personatum,9747,28.8,1.5,15,2.741,0.0074,NA,mg,12.38505275,12.38505275,9.168300937,8.8
Auba_2003_7_15,Auba,2003,7,15,196,Anomalopterygella chauviniana,4327,48,0.9375,9.375,2.933,0.004,NA,mg,2.836950414,2.836950414,NA,10.05
Auba_2004_4_6,Auba,2004,4,6,97,Rhyacophila tristis,6784,24,1.875,18.75,2.48,0.0099,NA,mg,14.2127576,14.2127576,NA,10.525
Auba_2013_3_20,Auba,2013,3,20,79,Leuctra sp.,5790,48,0.9375,9.375,2.719,0.0028,NA,mg,1.230121281,1.230121281,9.511455665,9.041666667
Auba_2004_4_6,Auba,2004,4,6,97,Ephemera danica,5124,15.2,3,30,2.764,0.0034,NA,mg,41.13789497,41.13789497,NA,10.525
Auba_2017_6_12,Auba,2017,6,12,163,Baetis sp.,4419,48.8,0.9375,9.375,2.875,0.0053,NA,mg,3.301363073,3.301363073,8.736242286,10.00833333
Auba_2006_4_10,Auba,2006,4,10,100,Ephemera danica,5124,15.36,3,30,2.764,0.0034,NA,mg,41.13789497,41.13789497,NA,8.958333333
Auba_2001_4_23,Auba,2001,4,23,113,Isoperla sp.,5673,35.2,1.3125,13.125,2.742,0.0196,NA,mg,22.80785194,22.80785194,NA,9.75
Auba_2005_3_24,Auba,2005,3,24,83,Dicranota sp.,4955,12.34286,3.75,37.5,2.681,0.0029,NA,mg,48.12556339,48.12556339,NA,9.1
Auba_2014_3_11,Auba,2014,3,11,70,Odontocerum albicorne,6168,24.8,1.875,18.75,2.988,0.0077,NA,mg,49.00253258,49.00253258,9.50444614,10.34166667
Auba_2001_9_4,Auba,2001,9,4,247,Sericostoma flavicorne/personatum,9747,31.2,1.5,15,2.741,0.0074,NA,mg,12.38505275,12.38505275,NA,9.75
Auba_2017_6_12,Auba,2017,6,12,163,Ephemerellidae Gen. sp.,8408,62.4,0.75,7.5,2.676,0.0103,NA,mg,2.262044611,2.262044611,8.736242286,10.00833333
Auba_2015_3_10,Auba,2015,3,10,69,Protonemura sp.,6616,49.92,0.9375,9.375,2.762,0.0056,NA,mg,2.708773502,2.708773502,9.396444518,10.16666667
Auba_2018_3_7,Auba,2018,3,7,66,Elmis aenea/maugetii/rietscheli/rioloides,20171,126.4,0.375,3.75,2.879,0.0074,NA,mg,0.33255826,0.33255826,9.961518032,9.741666667
Auba_2008_6_23,Auba,2008,6,23,175,Leuctra sp.,5790,50.63736,0.9375,9.375,2.719,0.0028,NA,mg,1.230121281,1.230121281,NA,9.55
Auba_2008_6_23,Auba,2008,6,23,175,Sericostoma flavicorne/personatum,9747,31.64835,1.5,15,2.741,0.0074,NA,mg,12.38505275,12.38505275,NA,9.55
Auba_2004_4_6,Auba,2004,4,6,97,Hydropsyche sp.,5605,28.8,1.65,16.5,2.926,0.0046,NA,mg,16.79251916,16.79251916,NA,10.525
Auba_2006_4_10,Auba,2006,4,10,100,Hydropsyche siltalai,5604,28.8,1.65,16.5,2.926,0.0046,NA,mg,16.79251916,16.79251916,NA,8.958333333
Auba_2015_3_10,Auba,2015,3,10,69,Sericostoma flavicorne/personatum,9747,31.68,1.5,15,2.741,0.0074,NA,mg,12.38505275,12.38505275,9.396444518,10.16666667
Auba_2015_3_10,Auba,2015,3,10,69,Ephemera danica,5124,15.84,3,30,2.764,0.0034,NA,mg,41.13789497,41.13789497,9.396444518,10.16666667
Auba_2017_6_12,Auba,2017,6,12,163,Calopteryx sp.,4531,14.4,3.3,33,2.742,0.005,NA,mg,72.90129238,72.90129238,8.736242286,10.00833333
Auba_2009_4_8,Auba,2009,4,8,98,Limnephilidae Gen. sp.,5809,24.38095,1.958333333,19.58333333,2.933,0.004,NA,mg,24.6129368,24.6129368,NA,9.5
Auba_2013_3_20,Auba,2013,3,20,79,Limnius sp.,18419,73,0.65625,6.5625,2.879,0.0074,NA,mg,1.66561369,1.66561369,9.511455665,9.041666667
Auba_2001_6_21,Auba,2001,6,21,172,Rhyacophila nubila,6772,25.6,1.875,18.75,2.48,0.0099,NA,mg,14.2127576,14.2127576,NA,9.525
Auba_2001_9_4,Auba,2001,9,4,247,Haplotaxis gordioides,5401,4.8,10,100,1.54,0.005888437,-2.23,mg,7.079457844,7.079457844,NA,9.75
Auba_2003_7_15,Auba,2003,7,15,196,Haplotaxis gordioides,5401,4.8,10,100,1.54,0.005888437,-2.23,mg,7.079457844,7.079457844,NA,10.05
Auba_2010_3_16,Auba,2010,3,16,75,Dicranota sp.,4955,12.8,3.75,37.5,2.681,0.0029,NA,mg,48.12556339,48.12556339,NA,9.533333333
Auba_2005_3_24,Auba,2005,3,24,83,Isoperla sp.,5673,37.02857,1.3125,13.125,2.742,0.0196,NA,mg,22.80785194,22.80785194,NA,9.1
